tag,run,seed,n_selected,auc
g50,1,1000,62,0.42307692307692313
g50,2,1001,56,0.48351648351648346
g50,3,1002,53,0.4945054945054945
g50,4,1003,52,0.4377289377289377
g50,5,1004,46,0.47802197802197804
g50,6,1005,56,0.5860805860805861
g50,7,1006,60,0.4285714285714286
g50,8,1007,56,0.5879120879120879
g50,9,1008,55,0.41391941391941395
g50,10,1009,44,0.4139194139194139
