"threshold","n_selected","lit_selected","lit_total","odds_ratio","fisher_p","hyper_p"
">=5/10",66,4,8,0.551715599713115,0.884413058032286,0.884413058032286
">=6/10",42,4,8,1.51991420022943,0.41278115689735,0.41278115689735
">=7/10",22,3,8,2.406520215148,0.222878415684358,0.222878415684358
