"method","self_cor"
"equi",0.59118959935119
"equi",0.648838246856342
"equi",0.151176293090025
"equi",0.545515927498851
"equi",0.438582276075668
"equi",0.573210478247245
"equi",0.0322552152256581
"equi",0.302974981491022
"equi",0.643458859521277
"equi",0.433632505558515
"equi",0.59318974195629
"equi",0.60760516147425
"equi",0.601968936159001
"equi",0.634625354762153
"equi",0.178390234806719
"equi",0.585291439405374
"equi",0.483575129392275
"equi",0.262019049620212
"equi",0.589991424017381
"equi",0.498374644799758
"equi",0.533349392717175
"equi",0.596182705528691
"equi",0.454289101023672
"equi",0.500480107193702
"equi",0.595242301986223
"equi",0.564179811013001
"equi",0.422642392099209
"equi",0.491529008029118
"equi",0.659923492900869
"equi",0.471009620491599
"equi",0.285234138385248
"equi",0.601158296236849
"equi",0.477038723370545
"equi",0.59416501386402
"equi",0.488314483642967
"equi",0.620297760010477
"equi",0.651899452766702
"equi",0.254416499016802
"equi",0.290271953622583
"equi",0.395654300343906
"equi",0.386384985420525
"equi",0.431345625455403
"equi",0.115337003045808
"equi",0.511775607737991
"equi",0.492953964282582
"equi",0.580578049724393
"equi",0.403952085954405
"equi",0.637102926240787
"equi",0.583796064825498
"equi",0.428182100192916
"equi",0.267181312689582
"equi",0.599588685307629
"equi",0.494615802427275
"equi",0.372357427322228
"equi",0.528589295147793
"equi",0.372837170764214
"equi",0.572472425797384
"equi",0.541090646546315
"equi",0.655322375350652
"equi",0.441794125608236
"equi",0.299075242806187
"equi",0.271290621400103
"equi",0.44648298226615
"equi",0.569357747958576
"equi",0.556879257567715
"equi",0.496880774261755
"equi",0.582174483674928
"equi",0.56261576513624
"equi",0.580321101787574
"equi",0.562717798899383
"equi",0.597548396121028
"equi",0.420634891584125
"equi",0.52986841765946
"equi",0.196705210102617
"equi",0.517825035390095
"equi",0.567633661744651
"equi",0.424349148442637
"equi",0.626270252014886
"equi",0.387605902185155
"equi",0.334114977072166
"equi",0.539364090739719
"equi",0.424426828028298
"equi",0.494974363056057
"equi",0.540272353192751
"equi",0.44736618690972
"equi",0.577952503887464
"equi",0.410580995809485
"equi",0.585583913922731
"equi",0.642377356794697
"equi",0.201761044253808
"equi",0.551639757461836
"equi",0.402809634457183
"equi",0.553030909494642
"equi",0.584348154174682
"equi",0.397466795614629
"equi",0.549513993313037
"equi",0.574800962169672
"equi",0.405004897941677
"equi",0.532257534613824
"equi",0.616165560671241
"equi",0.590221456968339
"equi",0.486866653775068
"equi",0.566002472015315
"equi",0.719547184205141
"sdp",0.195411524480754
"sdp",0.0261233182854642
"sdp",0.197102113604569
"sdp",0.105687904421932
"sdp",0.292055989320607
"sdp",0.312823242148941
"sdp",0.0457013988875798
"sdp",0.221101311975023
"sdp",0.281052088764593
"sdp",0.328616999946599
"sdp",0.0124446352089017
"sdp",0.415138092815028
"sdp",0.1831569065053
"sdp",0.0615194042060674
"sdp",0.098671901146196
"sdp",0.0664761856482162
"sdp",0.0508919536108114
"sdp",0.288985118453275
"sdp",0.416839659072867
"sdp",0.0194499502477376
"sdp",0.0355506604011952
"sdp",0.106510780106126
"sdp",0.343008209217081
"sdp",0.202131192712735
"sdp",0.109395534984988
"sdp",0.0263224154577225
"sdp",0.210044393229728
"sdp",0.151901374715443
"sdp",0.0217194567761423
"sdp",0.156310962030568
"sdp",0.332736272412835
"sdp",0.0593067921801099
"sdp",0.52257393525822
"sdp",0.195078562956789
"sdp",0.264589285661386
"sdp",0.103441217833957
"sdp",0.0354005976478267
"sdp",0.166424835893861
"sdp",0.123392702802528
"sdp",0.352381801390371
"sdp",0.262156524724786
"sdp",0.0881600823053159
"sdp",0.260666935819115
"sdp",0.16426063844746
"sdp",0.0155256208567216
"sdp",0.0696495207094394
"sdp",0.336577451250637
"sdp",0.237007377898654
"sdp",0.117207635391629
"sdp",0.331659000437381
"sdp",0.187968842001846
"sdp",0.270545153797213
"sdp",0.307458764048134
"sdp",0.123238439358326
"sdp",0.21875284074346
"sdp",0.136246310070822
"sdp",0.00270889059797445
"sdp",0.540861711961195
"sdp",0.0965051660281895
"sdp",0.152500310367947
"sdp",0.238087829093958
"sdp",0.0638933276157329
"sdp",0.0531224361134541
"sdp",0.116919449329056
"sdp",0.126606843364478
"sdp",0.041505559284739
"sdp",0.137734586176837
"sdp",0.149472313595771
"sdp",0.0760456186274461
"sdp",0.0117425419888916
"sdp",0.0805899749676619
"sdp",0.339232664581596
"sdp",0.10020948464147
"sdp",0.0895920932523806
"sdp",0.030886560865812
"sdp",0.0661385911743861
"sdp",0.075374239023025
"sdp",0.132476503983008
"sdp",0.374123937451616
"sdp",0.0250592556709082
"sdp",0.155601396195291
"sdp",0.225699330388289
"sdp",0.300695747686619
"sdp",0.103457020538886
"sdp",0.376857210013836
"sdp",0.0924344925451401
"sdp",0.0307416417096015
"sdp",0.0843978370881613
"sdp",0.135242733592877
"sdp",0.331571028022209
"sdp",0.0435574549624716
"sdp",0.341766762976817
"sdp",0.437797305413764
"sdp",0.195443967119375
"sdp",0.0923385253039038
"sdp",0.0715276029703932
"sdp",0.138878508140159
"sdp",0.375742231520263
"sdp",0.234766007792593
"sdp",0.132311219290593
"sdp",0.131993571111735
"sdp",0.126800952088483
"sdp",0.161886356002252
"sdp",0.145048286280181
"asdp",0.26937173973565
"asdp",0.0739311698687564
"asdp",0.207070171762095
"asdp",0.0872623010290177
"asdp",0.42511227912666
"asdp",0.321681397649685
"asdp",0.172269056408643
"asdp",0.213715050565699
"asdp",0.184624289456237
"asdp",0.329125876292148
"asdp",0.138607056365461
"asdp",0.341076204823792
"asdp",0.188422779794622
"asdp",0.110310025740255
"asdp",0.0240341599284846
"asdp",0.125007561909622
"asdp",0.128258769540006
"asdp",0.265650729690388
"asdp",0.499576061579818
"asdp",0.213084882473716
"asdp",0.0207863401789335
"asdp",0.0524270003545564
"asdp",0.335926259131424
"asdp",0.23311091234601
"asdp",0.164594963578823
"asdp",0.0344235281433855
"asdp",0.162083223420727
"asdp",0.0033876010360282
"asdp",0.011611485521286
"asdp",0.125774506538906
"asdp",0.260693133006508
"asdp",0.0279184882651939
"asdp",0.496960996320148
"asdp",0.23405196804595
"asdp",0.135803953476486
"asdp",0.0436955511493998
"asdp",0.0492247758894852
"asdp",0.134325230183664
"asdp",0.080326489453022
"asdp",0.463071349740595
"asdp",0.355100225619191
"asdp",0.228829062312071
"asdp",0.376660292652777
"asdp",0.125060477016205
"asdp",0.0654939670207064
"asdp",0.071747041975534
"asdp",0.243941124562718
"asdp",0.242115959580503
"asdp",0.0136385570965073
"asdp",0.447530318399949
"asdp",0.331383627924606
"asdp",0.142855406523512
"asdp",0.404165017822912
"asdp",0.174763143286961
"asdp",0.189474784920318
"asdp",0.110296722295096
"asdp",0.118011809766999
"asdp",0.492696285129576
"asdp",0.0779955505573294
"asdp",0.160936836027265
"asdp",0.0747396652319034
"asdp",0.0675469671569302
"asdp",0.0649881311341122
"asdp",0.0576171736413643
"asdp",0.0144988039299203
"asdp",0.0405946179293764
"asdp",0.0696915169947498
"asdp",0.0781431745555604
"asdp",0.0852709545032243
"asdp",0.192783428020344
"asdp",0.0808521605821686
"asdp",0.385967960380002
"asdp",0.000288468197642477
"asdp",0.190361633753676
"asdp",0.0657756951395243
"asdp",0.0394853841804248
"asdp",0.0568546498059432
"asdp",0.240721063132795
"asdp",0.328122839962885
"asdp",0.0465711444078195
"asdp",0.258933086205517
"asdp",0.123073853457321
"asdp",0.133635886274862
"asdp",0.0492314932160077
"asdp",0.452797867333306
"asdp",0.101452305219064
"asdp",0.152185578849945
"asdp",0.158673250273447
"asdp",0.109435214857657
"asdp",0.328140852883821
"asdp",0.0383469716634556
"asdp",0.380811182168902
"asdp",0.384250192484618
"asdp",0.121583912281656
"asdp",0.101151181214314
"asdp",0.0522676216969226
"asdp",0.0421023695260812
"asdp",0.344247404478776
"asdp",0.258510649513351
"asdp",0.0400378840087612
"asdp",0.0186137983681633
"asdp",0.0803121693700237
"asdp",0.179806464505008
"asdp",0.0101317116246197
