"method","mean_abs_diff","median_abs_diff","max_abs_diff","q90_abs_diff"
"asdp",0.120726053375029,0.09462316281516,0.653252984798346,0.261595262292277
"equi",0.0829773135375457,0.0676471656477701,0.429285741116565,0.173605598140635
"sdp",0.121075100195038,0.0954526107879609,0.702259226431739,0.262226569981399
