"method","abs_diff"
"equi",0.00389613055661814
"equi",0.0299755876894438
"equi",0.0498107980523319
"equi",0.0596892098609895
"equi",0.127089086643444
"equi",0.00453836300821964
"equi",0.0493964471319782
"equi",0.0659195107924752
"equi",0.0133766491177655
"equi",0.00131081947875766
"equi",0.00983105088386514
"equi",0.0603753925557819
"equi",0.0684266090612165
"equi",0.204412908509456
"equi",0.056799141323612
"equi",0.081469684703928
"equi",0.0107419948692571
"equi",0.0528831607717038
"equi",0.201023015752178
"equi",0.00951032867747664
"equi",0.0641914150328831
"equi",0.00470099211790752
"equi",0.0835319353218762
"equi",0.0190356650500204
"equi",0.0339445859859155
"equi",0.00986905163598836
"equi",0.0627901369058301
"equi",0.0661801351253721
"equi",0.00108217942298516
"equi",0.0436789259183849
"equi",0.19959027386871
"equi",0.0954416691714952
"equi",0.00543422617069106
"equi",0.121995462060731
"equi",0.0948701167693326
"equi",0.139967319143285
"equi",0.0949495178514249
"equi",0.0143562887193183
"equi",0.00217222662263838
"equi",0.072312714358273
"equi",0.0870832421287127
"equi",0.0254346207722147
"equi",0.0014743788093682
"equi",0.0965323421154143
"equi",0.031683233773256
"equi",0.156990940211785
"equi",0.0764564218611532
"equi",0.11727343537367
"equi",0.219747095059699
"equi",0.00236937218520644
"equi",0.0811102135078217
"equi",0.110921030746303
"equi",0.164234439655772
"equi",0.0800058058815278
"equi",0.0234072032860947
"equi",0.180887036603725
"equi",0.0106362798125599
"equi",0.103362835607933
"equi",0.0258681606165572
"equi",0.0844768056520462
"equi",0.0299900087110141
"equi",0.0346623318030917
"equi",0.00943069824739501
"equi",0.0524222588370172
"equi",0.0351516013672813
"equi",0.0677942061805417
"equi",0.0299769104468686
"equi",0.0229772441431705
"equi",0.257405794879583
"equi",0.0429051445860296
"equi",0.156274261068488
"equi",0.052601409829843
"equi",0.0734732009517574
"equi",0.116777596749459
"equi",0.185667118961654
"equi",0.126112096901088
"equi",0.191892902161591
"equi",0.0216880495940545
"equi",0.0792741973029855
"equi",0.125449057416774
"equi",0.0412614350863602
"equi",0.161443130126285
"equi",0.0423345715943193
"equi",0.0200258400273278
"equi",0.157562928371852
"equi",0.0158159358856038
"equi",0.139768444563038
"equi",0.023928647795687
"equi",0.16334210218299
"equi",0.113557042755811
"equi",0.295146614462492
"equi",0.0970109315745809
"equi",0.160897535699691
"equi",0.0429817821239759
"equi",0.012022267970647
"equi",0.00242546719767487
"equi",0.00900629042342706
"equi",0.0225981069436805
"equi",0.0186896876342918
"equi",0.0601612994641782
"equi",0.00384125563283372
"equi",0.0373797452559997
"equi",0.0663159452357036
"equi",0.0527080155737586
"equi",0.0539238183839455
"equi",0.0700150666898561
"equi",0.0583629637560997
"equi",0.0771486411427497
"equi",0.113032829389936
"equi",0.096326057820907
"equi",0.103688901799423
"equi",0.028417708785508
"equi",0.0100768889165119
"equi",0.0495598177923922
"equi",0.0437008494610221
"equi",0.0838118210605165
"equi",0.0743200590982136
"equi",0.0817007471407992
"equi",0.277086625001828
"equi",0.0217549443659702
"equi",0.120568544327098
"equi",0.088538265365396
"equi",0.158173090655545
"equi",0.166855034648372
"equi",0.081582904039264
"equi",0.0735208884340832
"equi",0.0349426093348507
"equi",0.15403177368137
"equi",0.128754585631663
"equi",0.159092500167926
"equi",0.0292553109571294
"equi",0.00125095051574983
"equi",0.11513545469897
"equi",0.0808881732469283
"equi",0.023832424444505
"equi",0.0163296130589496
"equi",0.0867429291736631
"equi",0.0269057282265731
"equi",0.135635574535373
"equi",0.107166874088531
"equi",0.010676403567591
"equi",0.121531291054336
"equi",0.0673688079313164
"equi",0.0594687635387213
"equi",0.0788364925762102
"equi",0.0295463775580723
"equi",0.0487142030577938
"equi",0.0830747686943146
"equi",0.0247049404505519
"equi",0.194982082776781
"equi",0.024970578799348
"equi",0.020232937828416
"equi",0.139481427998907
"equi",0.121358369819151
"equi",0.0428389476276953
"equi",0.0629173721302728
"equi",0.00800593853499171
"equi",0.144844855464237
"equi",0.0538271622130701
"equi",0.0804203498368613
"equi",0.0376696971434363
"equi",0.0154493764915327
"equi",0.0606884818289078
"equi",0.028503116083191
"equi",0.0736620444885179
"equi",0.0299053178985272
"equi",0.00837735613958107
"equi",0.109639829010158
"equi",0.0775874083438592
"equi",0.0855158947684279
"equi",0.0681905335990704
"equi",0.0660685553846086
"equi",0.10012842998162
"equi",0.0825363308623265
"equi",0.251266301300827
"equi",0.239939221415502
"equi",0.0739363819018093
"equi",0.0632830086285948
"equi",0.21853168705958
"equi",0.241236732408366
"equi",0.22423773043975
"equi",0.315317034121142
"equi",0.0675206469641831
"equi",0.234320766673121
"equi",0.243242940077775
"equi",0.0908352301840752
"equi",0.0374240054677922
"equi",0.121575502228164
"equi",0.00906612794993648
"equi",0.151330985552805
"equi",0.021745119598829
"equi",0.0571988512924735
"equi",0.0608431121024608
"equi",0.101548325402917
"equi",0.040226214355223
"equi",0.0674351427666057
"equi",0.00229019186840734
"equi",0.110861173609262
"equi",0.122309747026256
"equi",0.101398325717717
"equi",0.112388205878841
"equi",0.124889884803399
"equi",0.0465827774538184
"equi",0.170089922799622
"equi",0.020404538435756
"equi",0.142698681460986
"equi",0.115191598432957
"equi",0.0760701089378327
"equi",0.103983730006031
"equi",0.116537894628012
"equi",0.0977797202303984
"equi",0.0688820288114683
"equi",0.105674685228284
"equi",0.0893148090588582
"equi",0.0117437191097808
"equi",0.199269858534423
"equi",0.0307423422446989
"equi",0.105917414825596
"equi",0.0061106985986078
"equi",0.126438091418438
"equi",0.00116805205133316
"equi",0.136874944684014
"equi",0.294820140988082
"equi",0.174477964141267
"equi",0.0231607668582979
"equi",0.0233825194110797
"equi",0.249174139803484
"equi",0.196900369947551
"equi",0.0572114522417819
"equi",0.128535118915081
"equi",0.0437468654992015
"equi",0.104350158333172
"equi",0.284653771458068
"equi",0.309379729245029
"equi",0.169193673766728
"equi",0.0701973174878772
"equi",0.146712074339507
"equi",0.01831334910352
"equi",0.242766103201188
"equi",0.236131166531862
"equi",0.173757704488623
"equi",0.255249038230171
"equi",0.184390351383923
"equi",0.427636787324761
"equi",0.330189717939207
"equi",0.0132165442061866
"equi",0.175281787653414
"equi",0.251416430533479
"equi",0.0149852152555558
"equi",0.141294527156173
"equi",0.279486007179329
"equi",0.073819555283828
"equi",0.237686691289906
"equi",0.0908241623060363
"equi",0.00767610473319191
"equi",0.225749316298361
"equi",0.0470868189772038
"equi",0.00595202545780954
"equi",0.067176987688216
"equi",0.0578059646808659
"equi",0.0964091890541299
"equi",0.181656690257583
"equi",0.0282643571267386
"equi",0.0971578638431671
