tag,run,seed,n_selected,auc
g50,1,1000,52,0.6172161172161171
g50,2,1001,53,0.6996336996336996
g50,3,1002,54,0.6263736263736264
g50,4,1003,48,0.6355311355311355
g50,5,1004,52,0.6153846153846154
g50,6,1005,53,0.4743589743589744
g50,7,1006,49,0.6336996336996337
g50,8,1007,48,0.6007326007326007
g50,9,1008,45,0.6135531135531136
g50,10,1009,45,0.5659340659340659
