tag,run,seed,n_selected,auc
g100,1,1000,55,0.3956043956043956
g100,2,1001,51,0.4908424908424908
g100,3,1002,59,0.47619047619047616
g100,4,1003,51,0.4230769230769231
g100,5,1004,53,0.391941391941392
g100,6,1005,50,0.5732600732600732
g100,7,1006,45,0.4523809523809524
g100,8,1007,51,0.5347985347985348
g100,9,1008,56,0.6190476190476191
g100,10,1009,55,0.3626373626373627
