perm,auc
0,0.3571428571428572
1,0.4413919413919414
2,0.6648351648351649
3,0.47252747252747257
4,0.43772893772893773
5,0.6080586080586081
6,0.5741758241758241
7,0.6739926739926739
8,0.3736263736263736
9,0.4285714285714286
10,0.49633699633699635
11,0.3864468864468864
12,0.35714285714285715
13,0.521978021978022
14,0.3846153846153846
15,0.716117216117216
16,0.5201465201465202
17,0.4926739926739926
18,0.4725274725274725
19,0.45604395604395603
20,0.6794871794871795
21,0.5091575091575091
22,0.4139194139194139
23,0.6227106227106227
24,0.5073260073260074
25,0.5128205128205129
26,0.5531135531135531
27,0.5805860805860806
28,0.6208791208791208
29,0.6611721611721612
30,0.5604395604395604
31,0.5512820512820512
32,0.43589743589743585
33,0.4487179487179487
34,0.48717948717948717
35,0.3974358974358974
36,0.40293040293040294
37,0.4633699633699634
38,0.38644688644688646
39,0.6245421245421245
40,0.5
41,0.6318681318681318
42,0.43956043956043955
43,0.5531135531135531
44,0.3791208791208791
45,0.34798534798534797
46,0.5384615384615384
47,0.5366300366300366
48,0.43772893772893773
49,0.4853479853479854
50,0.45238095238095233
51,0.6282051282051282
52,0.43956043956043955
53,0.2948717948717948
54,0.35531135531135527
55,0.4560439560439561
56,0.6043956043956044
57,0.49633699633699635
58,0.7216117216117215
59,0.46520146520146516
60,0.5934065934065934
61,0.7216117216117217
62,0.5494505494505495
63,0.5879120879120879
64,0.5329670329670328
65,0.6227106227106227
66,0.5036630036630036
67,0.4945054945054945
68,0.4194139194139194
69,0.45604395604395603
70,0.44688644688644685
71,0.49633699633699635
72,0.39926739926739924
73,0.5146520146520147
74,0.5512820512820512
75,0.4413919413919414
76,0.6227106227106227
77,0.5219780219780219
78,0.6208791208791209
79,0.6062271062271062
80,0.45604395604395603
81,0.5494505494505495
82,0.4597069597069597
83,0.6025641025641025
84,0.4487179487179487
85,0.38095238095238093
86,0.6575091575091575
87,0.5164835164835165
88,0.6391941391941391
89,0.5586080586080586
90,0.47435897435897434
91,0.37362637362637363
92,0.358974358974359
93,0.5421245421245421
94,0.33882783882783885
95,0.7161172161172161
96,0.6153846153846154
97,0.4871794871794872
98,0.3864468864468864
99,0.5512820512820513
100,0.6575091575091575
101,0.6227106227106227
102,0.5659340659340659
103,0.6355311355311355
104,0.4029304029304029
105,0.5824175824175825
106,0.5641025641025641
107,0.3937728937728938
108,0.41208791208791207
109,0.25457875457875456
110,0.5567765567765568
111,0.32600732600732596
112,0.5366300366300367
113,0.4633699633699634
114,0.46886446886446886
115,0.2673992673992674
116,0.48901098901098894
117,0.49267399267399264
118,0.3424908424908425
119,0.46886446886446886
120,0.33882783882783885
121,0.5769230769230769
122,0.39743589743589747
123,0.5622710622710623
124,0.43956043956043955
125,0.641025641025641
126,0.4706959706959707
127,0.5238095238095237
128,0.641025641025641
129,0.34798534798534797
130,0.3315018315018315
131,0.3058608058608059
132,0.510989010989011
133,0.4542124542124542
134,0.33699633699633696
135,0.336996336996337
136,0.6062271062271062
137,0.30219780219780223
138,0.6117216117216118
139,0.3699633699633699
140,0.4010989010989011
141,0.45604395604395603
142,0.4798534798534798
143,0.41208791208791207
144,0.37179487179487175
145,0.32234432234432236
146,0.521978021978022
147,0.575091575091575
148,0.6721611721611722
149,0.48351648351648346
150,0.43772893772893773
151,0.5879120879120879
152,0.6593406593406593
153,0.5677655677655677
154,0.4725274725274725
155,0.6318681318681318
156,0.41025641025641024
157,0.5769230769230769
158,0.3736263736263736
159,0.5201465201465201
160,0.3772893772893773
161,0.6483516483516484
162,0.41758241758241754
163,0.5238095238095238
164,0.6996336996336997
165,0.6501831501831502
166,0.42490842490842484
167,0.5421245421245421
168,0.3644688644688645
169,0.4505494505494505
170,0.521978021978022
171,0.3864468864468864
172,0.37179487179487175
173,0.37545787545787546
174,0.5238095238095238
175,0.4139194139194139
176,0.40476190476190477
177,0.3663003663003663
178,0.489010989010989
179,0.26373626373626374
180,0.3846153846153846
181,0.4505494505494505
182,0.5457875457875457
183,0.5421245421245422
184,0.46336996336996333
185,0.6007326007326008
186,0.706959706959707
187,0.48168498168498164
188,0.5366300366300366
189,0.3571428571428571
190,0.3351648351648352
191,0.4010989010989011
192,0.32417582417582413
193,0.41208791208791207
194,0.6575091575091575
195,0.3992673992673993
196,0.3553113553113553
197,0.46886446886446886
198,0.43956043956043955
199,0.4230769230769231
